words	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
dikkatli	0	0	0	0	0	0	1	0	0	0
dikkatli inceleme	0	0	0	0	0	1	0	0	0	0
dikkatlice	0	0	0	0	0	0	1	0	0	0
dikkatlilik	0	0	0	0	0	0	1	0	0	0
dikkatsizlik	1	0	1	0	0	1	0	0	0	0
dikmek	0	0	0	0	0	0	1	0	0	0
dikotom	0	0	0	0	0	0	0	0	0	0
diksiyon	0	0	0	0	0	0	0	0	0	0
diktatör	0	0	0	1	0	1	0	0	0	0
diktatörce	1	0	0	0	0	1	0	0	0	0
diktatörlük	1	1	1	1	0	1	0	1	0	0
dikte	0	0	0	0	0	0	0	0	0	0
dil	0	0	0	0	0	0	0	0	0	0
dilbilgisi	0	0	0	0	0	0	0	0	0	1
dilbilim	0	0	0	0	0	0	0	0	0	0
dilbilimci	0	0	0	0	0	0	1	0	0	1
dilbilimsel	0	0	0	0	0	0	0	0	0	0
dilde sadelik yanlısı sanatçı	0	0	0	0	0	0	1	0	0	0
dilekçe	0	0	0	0	0	0	0	0	0	0
dilekçe sahibi	0	0	0	0	0	0	0	0	0	0
dilenci	0	0	0	0	0	1	0	1	0	0
dilenme	0	0	0	0	0	1	0	0	0	0
dilenmek	0	0	0	0	0	1	0	1	0	0
dilim	0	0	0	0	0	0	0	0	0	0
dilsiz	0	0	0	0	0	1	0	0	0	0
din	0	0	0	0	0	0	0	0	0	1
din değiştirmek	0	0	0	0	0	0	0	0	0	0
dinamik	0	0	0	0	0	0	0	0	1	0
dinamit	0	0	0	0	0	0	0	0	0	0
dinç	0	0	1	0	0	0	0	0	0	0
dinçlik	0	0	0	0	0	0	1	0	0	0
dindar	0	0	0	0	0	0	1	0	0	1
dindarlık	0	0	0	0	0	0	1	0	0	0
dine aykırı	0	0	0	1	0	1	0	0	0	0
dingin	0	0	0	0	0	0	0	0	0	0
dinginlik	0	0	0	0	0	0	0	0	0	0
dini	0	0	0	0	0	0	0	0	0	0
dini tören	0	0	0	0	0	0	0	0	0	0
dinle ilgisi olmayan	1	0	0	0	0	1	0	0	0	0
dinlemek	0	0	0	0	0	0	0	0	0	0
dinlendirici	0	0	0	0	0	0	0	0	0	0
dinlenme	0	0	0	0	0	0	1	0	0	0
dinleyici	0	0	0	0	0	0	0	0	0	0
dinmeyen	0	0	0	0	0	0	0	0	0	0
dinozor	0	0	0	1	0	0	0	0	0	0
dinsiz	1	0	0	0	0	1	0	0	0	0
dip akıntısı	0	0	0	0	0	0	0	0	0	0
diploma	0	0	0	0	0	0	0	0	0	0
diplomasi	0	1	0	0	0	0	1	0	0	1
diplomat	0	0	0	0	0	0	0	0	0	0
diplomatik	0	0	0	0	0	0	1	0	0	1
dipnot	0	0	0	0	0	0	0	0	0	0
dipsiz	0	0	0	0	0	1	0	1	0	0
direkt olarak	0	0	0	0	0	0	0	0	0	0
direnç	1	0	0	0	0	1	0	0	0	0
dirençli	0	0	0	0	0	0	1	0	0	0
direnerek	1	0	0	1	0	1	0	1	0	0
direnmek	0	0	0	0	0	1	0	0	0	0
dirilik	0	0	0	0	1	0	1	0	0	1
diriliş	0	0	0	0	0	0	0	0	0	0
diriltme	0	0	0	0	0	0	0	0	0	0
dirsek	1	0	0	0	0	0	0	0	0	0
diş	0	0	0	0	0	0	0	0	0	0
diş ağrısı	0	0	0	1	0	1	0	0	0	0
diş çürümesi	0	0	1	0	0	1	0	0	0	0
diş hekimliği	0	0	0	1	0	0	0	0	0	0
diş ipi	0	0	0	0	0	0	0	0	0	0
disheartened	0	0	0	0	0	1	0	1	0	0
disi	0	0	0	0	0	0	0	0	0	0
dişi geyik	0	0	0	0	0	0	0	0	0	0
disiplin	0	0	0	1	0	1	0	0	0	0
disiplin görevlisi	0	0	0	0	0	0	0	0	0	0
disiplini sağlamak	0	0	0	0	0	0	1	0	0	1
disk	0	0	0	0	0	0	0	0	0	0
diskalifiye	0	0	0	0	0	1	0	0	0	0
disket	0	0	0	0	0	0	0	0	0	0
dişleri	0	0	0	1	0	0	0	0	0	0
dişli	0	0	0	0	0	0	0	0	0	0
dişsiz	0	0	0	0	0	0	0	0	0	0
divested	0	0	0	0	0	1	0	0	0	0
diyafram	0	0	0	0	0	0	0	0	0	0
diyagram	0	0	0	0	0	0	0	0	0	0
diyakoz	0	0	0	0	0	0	0	0	0	1
diyalekt	0	0	0	0	0	0	0	0	0	0
diyalektik	0	0	0	0	0	0	0	0	0	0
diyalog	0	0	0	0	0	0	0	0	0	0
Diyar	0	0	0	0	0	0	0	0	0	0
diyet	0	0	0	0	0	0	0	0	0	0
diyorama	0	0	0	0	0	0	0	0	0	0
diz	0	0	0	0	0	0	0	0	0	0
diz çökmek	0	0	0	0	0	0	0	0	0	0
diz çökmüş	0	0	0	0	0	0	0	0	0	0
dizanteri	0	0	1	0	0	1	0	1	0	0
dizayn	0	0	0	0	0	0	0	0	0	0
dizgi hatası	0	0	0	0	0	1	0	0	0	0
dizgin	0	0	0	0	0	0	0	0	0	0
dizginleme	0	0	0	0	0	1	0	0	0	0
dizginlemek	1	0	0	1	0	1	0	0	0	0
dizginler	0	0	0	0	0	0	0	0	0	0
dizginsiz	1	1	0	1	0	1	1	0	1	0
dizi	0	0	0	0	0	0	1	0	0	0
dizkapağı	0	0	0	0	0	0	0	0	0	0
dizme	0	0	0	0	0	0	0	0	0	0
dış görünüş	0	0	0	0	0	1	0	0	0	0
dış mekan	0	0	0	0	0	0	0	0	0	0
dışa doğru	0	0	0	0	0	0	1	0	0	0
dışbükeylik	0	0	0	0	0	0	0	0	0	0
dışkı	0	0	1	0	0	1	0	0	0	0
dışkıya ait	0	0	1	0	0	1	0	0	0	0
dışlamak	0	0	0	1	0	1	0	1	0	0
dışlanan	0	0	1	0	0	1	0	1	0	0
doğa	0	0	0	0	0	0	0	0	0	0
doğaçlama	0	0	0	0	0	0	0	0	0	0
doğal	0	0	0	0	0	0	0	0	0	0
doğal olarak	0	0	0	0	0	0	0	0	0	0
doğal olmayan	0	0	1	1	0	1	0	0	0	0
doğan	0	1	0	0	0	0	0	0	0	0
doğaüstü	0	0	0	0	0	0	0	0	0	0
dogma	0	0	0	0	0	0	0	0	0	1
doğmak	0	0	0	0	0	0	0	0	0	0
doğmamış	0	0	0	0	0	1	0	0	0	0
dogmatik	0	0	0	0	0	0	0	0	0	0
doğrama	0	0	0	0	0	0	0	0	0	0
doğru	0	0	0	0	0	0	1	0	0	1
doğru sözlü	0	0	0	0	0	0	0	0	0	1
doğrulama	0	0	0	0	0	0	1	0	0	0
doğrulamak	0	0	0	0	0	0	1	0	0	1
doğrulanmamış	0	0	0	0	0	0	0	0	0	0
doğrulanmış	0	0	0	0	0	0	1	0	0	1
DOĞRULAYIN	0	0	0	0	0	0	0	0	0	0
doğrulayıcı	0	0	0	0	0	0	0	0	0	0
doğrultma	0	0	0	0	0	0	0	0	0	0
doğruluk	0	0	0	0	0	0	0	0	0	0
doğrusal	0	0	0	0	0	0	0	0	0	0
doğrusu	0	0	0	0	0	0	1	0	0	1
doğum	0	1	0	1	1	0	1	0	0	1
doğum günü	0	1	0	0	1	0	1	0	1	0
doğum uzmanı	0	0	0	0	0	0	0	0	0	1
doğum yeri	1	0	0	0	0	1	0	0	0	0
doğurma	0	0	0	0	0	0	0	0	0	0
doğurmak	0	0	0	0	0	0	0	0	0	0
doğurtkanlık	0	0	0	0	0	0	0	0	0	0
doğuş	0	0	0	0	0	0	0	0	0	0
doğuştan	0	0	0	0	0	0	0	0	0	0
doğuştan kazanılan hak	0	0	0	0	0	0	0	0	0	0
dökmek	0	0	0	0	0	1	0	0	0	0
doksan	0	0	0	0	0	0	0	0	0	0
doktor	0	0	0	0	0	0	1	0	0	1
doktrin	0	0	0	0	0	0	0	0	0	1
doktrinleştirme	1	0	0	1	0	1	0	0	0	0
doku	0	0	0	0	0	0	0	0	0	0
dökülme	0	0	0	0	0	0	0	0	0	0
döküm	0	0	0	0	0	0	0	0	0	0
dokuma	0	0	0	0	0	0	0	0	0	0
dokuma tezgâhı	0	1	0	1	0	1	0	0	0	0
dökümhane	0	0	0	0	0	0	0	0	0	0
dokunaç	0	0	0	0	0	0	0	0	0	0
dokunaklı	0	0	0	0	0	0	0	0	0	0
dokundurma	0	0	0	0	0	0	0	0	0	0
dokunma	0	0	0	0	0	0	0	0	0	0
dokunsal	0	0	0	0	0	0	0	0	0	0
döküntü	0	0	0	0	0	1	0	0	0	0
dokunulmamış	0	0	0	0	0	0	0	0	0	0
dokunulmazlık	0	0	0	0	0	0	0	0	0	0
dokusal	0	0	0	0	0	0	0	0	0	0
dokuzuncu	0	0	0	0	0	0	0	0	0	0
döl	0	0	0	0	0	0	0	0	0	0
dolambaçlı	0	0	0	0	0	1	0	0	0	0
dolandırıcı	0	0	0	0	0	1	0	0	0	0
dolandırıcılık	1	0	0	0	0	1	0	0	0	0
dolandırmak	1	0	1	0	0	1	0	0	0	0
dolap	0	0	0	0	0	0	0	0	0	0
dolar	0	0	0	1	0	1	1	0	1	0
dolaşık	1	0	1	1	0	1	0	1	0	0
dolaşıklık	0	0	0	0	0	1	0	0	0	0
dolaşım	0	0	0	0	0	0	0	0	0	0
dolaşmak	0	0	0	0	0	0	0	0	0	0
dolaştırmak	0	0	0	0	0	0	0	0	0	0
dolaylı	0	0	0	0	0	0	0	0	0	0
dolaysızlık	0	0	0	0	0	0	0	0	1	0
doldurmak	0	0	0	0	0	0	0	0	0	1
dolgu	0	0	0	0	0	0	0	0	0	0
dolgu malzemesi	0	0	0	0	0	0	1	0	0	0
dolgun	0	0	0	0	0	0	1	0	0	0
dolgunluk	0	0	0	0	0	0	0	0	0	0
döllemek	0	0	0	0	0	0	0	0	0	0
dolma kalem	0	0	0	0	0	0	0	0	0	0
dolu	0	0	0	1	0	1	0	1	0	0
domain	0	0	0	0	0	0	0	0	0	0
domino	0	0	0	0	0	0	0	0	0	0
domuz	0	0	0	0	0	0	0	0	0	0
domuz yağı	0	0	0	0	0	0	0	0	0	0
don	0	0	0	0	0	0	1	0	0	1
donakalmış	0	0	1	1	0	1	0	0	1	0
donanım	0	0	0	0	0	0	0	0	0	0
donanma	0	0	0	0	0	0	0	0	0	0
donatmak	0	0	0	0	0	0	0	0	0	0
dondurma külahı	0	0	0	0	0	0	0	0	0	0
döndürme	0	0	0	0	0	0	0	0	0	0
döndürmek	0	0	0	0	0	0	0	0	0	0
dondurucu	0	0	0	0	0	0	0	0	0	0
dondurulmuş	0	0	0	0	0	0	0	0	0	0
dönek	0	0	0	0	0	0	0	0	0	0
döneklik	0	0	0	0	0	0	0	0	0	0
dönem	0	0	0	0	0	0	0	0	0	0
dönemeç	0	0	0	0	0	0	0	0	0	0
döner	0	0	0	0	0	0	0	0	0	0
döner tabla	0	0	0	0	0	0	0	0	0	0
döngü	0	0	0	0	0	0	0	0	0	0
donma	0	0	0	0	0	1	0	0	0	0
donmak	0	0	0	0	0	0	0	0	0	0
dönmek	0	0	0	0	0	0	0	0	0	0
donuk	0	0	0	0	0	1	0	1	0	0
dönülemez	0	0	0	0	0	0	0	0	0	0
dönüm	0	0	0	0	0	0	0	0	0	0
dönüş	0	0	0	0	0	0	0	0	0	0
dönüştürme	0	0	0	0	0	0	0	0	0	0
dönüştürmek	0	0	0	0	0	0	1	0	0	0
dönüştürülmüş	0	0	0	0	0	0	0	0	0	0
dönüşüm	0	0	0	0	0	0	0	0	0	0
donyağı	0	0	0	0	0	0	0	0	0	0
dörde	0	0	0	0	0	0	0	0	0	0
dördün	0	0	0	0	0	0	0	0	0	0
dördüncü	0	0	0	0	0	0	0	0	0	0
dört kat	0	0	0	0	0	0	0	0	0	0
dörtgen	0	0	0	0	0	0	0	0	0	0
dörtlü	0	0	0	0	0	0	0	0	0	0
dörtlük	0	0	0	0	0	0	0	0	0	0
dörtnal	0	0	0	0	0	0	0	0	0	0
dörtnala	0	0	0	0	0	0	0	0	0	0
doruk	0	0	0	0	0	0	0	0	0	0
döşeme	0	0	0	0	0	0	0	0	0	0
döşemek	0	0	0	0	0	0	0	0	0	0
dostane	0	0	0	0	1	0	1	0	0	0
dostluk	0	0	0	0	1	0	1	0	0	1
Dostum	0	0	0	0	0	0	1	0	0	1
dosya	0	0	0	0	0	0	0	0	0	0
dosyalama	0	0	0	0	0	0	0	0	0	0
dövme	0	0	0	0	0	0	0	0	0	0
dövmek	0	0	0	0	0	0	0	0	0	0
dövülebilir	0	0	0	0	0	0	0	0	0	0
dövülmemiş	0	1	0	0	1	1	1	1	1	0
doyma	0	0	0	0	0	0	0	0	0	0
doymuş	0	0	1	0	0	1	0	0	0	0
doz	0	0	0	0	0	0	0	0	0	0
dram	0	0	0	0	0	0	0	0	0	0
dramatik	0	0	0	0	0	0	0	0	0	0
drenaj	0	0	0	0	0	1	0	0	0	0
dua etmek	0	1	0	1	1	0	1	0	1	1
duba	0	0	0	0	0	0	0	0	0	0
dubleks	0	0	0	0	0	0	0	0	0	0
dudak	0	0	0	0	0	0	0	0	0	0
düello	1	1	0	1	0	0	0	0	0	0
düet	0	0	0	0	0	0	1	0	0	0
düğüm	0	0	0	0	0	0	0	0	0	0
düğümlü	0	0	0	0	0	1	0	0	0	0
dük	0	0	0	0	0	0	1	0	0	0
Dükkan	0	0	0	0	0	0	0	0	0	0
dükkâncı	0	0	0	0	0	0	0	0	0	1
dul	0	0	0	0	0	0	0	1	0	0
duman	0	0	0	0	0	1	0	0	0	0
dumanlı	1	0	0	0	0	1	0	0	0	0
dümen	0	0	0	0	0	0	0	0	0	0
dümen yekesi	0	0	0	0	0	0	0	0	0	0
dün	0	0	0	0	0	0	0	0	0	0
Dünya	0	0	0	0	0	0	0	0	0	0
Dünya çapında	0	0	0	0	0	0	0	0	0	0
dünyevi	0	0	0	0	0	0	0	0	0	0
düpedüz	0	0	0	0	0	0	0	0	0	0
duraklama	0	0	0	0	0	0	0	0	0	0
Duraklat	0	0	0	0	0	0	0	0	0	0
duraksama	0	0	0	1	0	1	0	0	0	0
dürbün	0	0	0	0	0	0	0	0	0	0
durdurma	0	0	0	0	0	0	0	0	0	0
durdurmak	0	0	0	0	0	0	0	0	0	0
durdurucu	0	0	0	0	0	0	0	0	0	0
Durduruluyor	0	0	0	0	0	0	0	0	0	0
durgun	0	0	0	0	0	0	1	0	0	0
durgunluk	1	0	1	1	0	1	0	1	0	0
durmak	0	0	0	0	0	0	0	0	0	0
dürtme	0	1	0	0	0	1	0	0	0	0
dürtmek	0	0	0	0	0	0	0	0	0	0
dürtü	0	0	0	0	0	0	0	0	0	0
durulama	0	0	0	0	0	0	0	0	0	0
durum	0	0	0	0	0	0	0	0	0	0
duruş	0	0	0	0	0	0	0	0	0	0
dürüst	0	0	0	0	0	0	1	0	0	1
dürüstlük	0	0	0	0	0	0	1	0	0	1
duş	0	0	0	0	0	0	0	0	0	0
düşen	0	0	0	0	0	1	0	1	0	0
düşeş	0	0	0	0	0	0	1	0	0	0
düşkünlük	0	0	0	0	0	0	0	0	0	0
düşman	1	0	1	1	0	1	0	0	0	0
düşmanca	1	0	1	1	0	1	0	0	0	0
düşmanlık	1	0	1	1	0	1	0	1	0	0
düşmanlıkların	1	0	0	1	0	1	0	0	0	0
düşmek	0	0	0	0	0	1	0	0	0	0
düşsel	0	1	0	0	1	0	1	0	0	1
düştü	0	0	0	0	0	1	0	1	0	0
düşük	0	0	0	1	0	1	0	1	0	0
düşük ücretli	1	0	0	0	0	1	0	1	0	0
düşünce	0	0	0	0	0	0	0	0	0	0
düşünceler	0	0	0	0	0	0	0	0	0	0
düşünceli	0	0	0	0	0	0	0	0	0	0
düşüncesiz	0	0	0	0	0	1	0	0	0	0
düşünceye dalmış	0	0	0	0	0	0	0	0	0	0
düşündürücü	0	0	0	0	0	0	0	0	0	0
düşünme	0	0	0	0	0	0	0	0	0	0
düşünmek	0	0	0	0	0	0	0	0	0	0
düşünülebilir	0	0	0	0	0	0	0	0	0	0
düşünülemez	0	0	0	0	0	1	1	0	1	0
düşürmek	0	0	0	1	0	1	0	1	0	0
düşüş	0	0	0	0	0	1	0	0	0	0
duvak	0	0	0	0	0	0	0	0	0	0
duvar	0	0	0	0	0	0	0	0	0	0
düve	0	0	0	0	0	0	0	0	0	0
duyarga	0	0	0	0	0	0	0	0	0	0
duyarlı	0	1	0	0	0	0	1	0	0	1
duyarlılık	0	0	0	0	0	0	1	0	0	0
duygu	0	0	0	0	0	0	0	0	0	0
duygulu	0	0	0	0	0	0	0	0	0	0
duygusal	0	0	0	0	0	0	0	0	0	0
duygusallık	0	1	0	0	1	0	1	0	0	0
duygusuz	0	0	0	0	0	0	0	0	0	0
duymak	0	0	0	0	0	0	0	0	0	0
duyu	0	0	0	0	0	0	1	0	0	0
duyulabilir	0	0	0	0	0	0	0	0	0	0
duyulamaz	0	0	0	0	0	1	0	0	0	0
duyular	0	0	0	0	0	0	0	0	0	0
duyumsal	0	0	0	0	1	0	1	0	0	0
duyurmak	0	0	0	0	0	0	0	0	0	0
duyuru	0	1	0	0	0	0	0	0	0	0
duyusal	0	0	0	0	0	0	0	0	0	0
düz	0	0	0	0	0	0	0	0	0	0
düzeltici	0	0	0	0	0	0	1	0	0	0
düzeltme	0	0	0	0	0	0	0	0	0	0
düzeltmek	0	0	0	0	0	0	1	0	0	0
düzen	0	0	0	0	0	1	0	0	0	0
düzenbaz	0	0	1	0	0	1	0	0	0	0
Düzenle	0	0	0	0	0	0	0	0	0	0
düzenleme	0	0	0	0	0	0	0	0	0	0
düzenlemek	0	0	0	0	0	0	0	0	0	0
düzenlenmiş	0	0	0	0	0	0	0	0	0	0
düzenleyici	0	0	0	1	0	1	0	0	0	0
düzenli	0	0	0	0	0	0	1	0	0	0
düzenlilik	0	1	0	0	0	0	1	0	0	1
düzensiz	0	0	0	0	0	1	0	0	0	0
düzensizce	0	0	0	0	0	0	0	0	0	0
düzensizlik	0	0	0	1	0	1	0	0	0	0
düzgün	0	0	0	0	0	0	1	0	0	0
düzgünce	0	0	0	0	0	0	0	0	0	0
düzine	0	0	0	0	0	0	0	0	0	0
düzleştirmek	0	0	0	0	0	0	0	0	0	0
düzlük	0	0	0	0	0	0	0	0	0	0
e karşı	1	0	0	0	0	1	0	0	0	0
ebe	0	1	0	0	1	1	1	0	0	1
ebediyen	0	0	0	0	0	0	0	0	0	0
ebelik	0	0	0	0	0	0	1	0	0	0
ebeveyn	0	0	0	0	0	0	0	0	0	0
eczacı	0	0	0	0	0	0	1	0	0	1
eczane	0	0	0	0	0	0	0	0	0	0
edebi	0	0	0	0	0	0	0	0	0	0
edebikelâm	0	0	0	0	0	0	0	0	0	0
Edebiyat	0	0	0	0	0	0	0	0	0	0
edep	0	0	0	0	0	0	0	0	0	0
edinme	0	1	0	0	0	0	1	0	0	0
editör	0	0	0	0	0	0	0	0	0	0
Efekt	0	0	0	0	0	0	0	0	0	0
efemerisi	0	0	0	0	0	0	1	0	0	0
efendimiz	0	0	0	0	0	0	0	0	0	0
effectually	0	0	0	0	0	0	0	0	0	0
eflatun	0	0	0	0	0	0	0	0	0	0
efsane	0	0	0	0	0	0	0	0	0	0
efsanevi	0	0	0	0	0	0	1	0	0	0
efüzyon	0	0	0	0	0	0	0	0	0	0
eğe talaşı	0	0	0	0	0	0	0	0	0	0
egemen	0	0	0	0	0	0	0	0	0	0
egemenlik	1	0	0	1	0	1	0	1	0	0
eğik	0	0	0	0	0	0	0	0	0	0
eğik çizgi	0	0	0	0	0	0	0	0	0	0
eğildi	0	0	0	0	0	0	0	0	0	0
eğilim	0	0	0	0	0	0	0	0	0	0
eğilimli	0	0	0	0	0	0	0	0	0	0
eğilmek	0	0	0	0	0	0	0	0	0	0
eğim	0	0	0	0	0	0	0	0	0	0
eğimli	0	0	0	0	0	0	0	0	0	0
eğimli yüzey	0	0	0	0	0	0	0	0	0	0
eğitici	0	0	0	0	0	0	1	0	0	1
eğitilmemiş	0	0	0	0	0	1	0	0	0	0
eğitilmiş	0	0	0	0	0	0	0	0	0	0
Eğitim	0	0	0	0	0	0	0	0	0	0
eğitimci	0	0	0	0	0	0	0	0	0	1
eğitimli	0	0	0	0	0	0	1	0	0	0
Eğitmek	0	0	0	0	0	0	1	0	0	0
eğitmen	0	1	0	0	0	0	1	0	0	1
eğlence	0	0	0	0	1	0	1	0	0	0
eğlenceli	0	0	0	0	1	0	1	0	0	0
eğlendirmek	0	0	0	0	1	0	1	0	0	0
eğlenerek	0	0	0	0	1	0	1	0	0	0
egoist	0	0	1	0	0	1	0	0	0	0
eğreltiotu	0	0	0	0	0	0	0	0	0	0
eğreti	0	0	0	0	0	1	0	0	0	0
eğri	0	0	0	0	0	0	0	0	0	0
eğrilerden oluşan	0	0	0	0	0	0	0	0	0	0
eğrilik	0	0	0	0	0	0	0	0	0	0
egzersiz	0	0	0	0	0	0	0	0	0	0
egzotik	0	0	0	0	0	0	1	0	0	0
egzoz	0	0	0	0	0	1	0	0	0	0
Ejderha	0	0	0	1	0	0	0	0	0	0
ek	0	0	0	0	0	0	0	0	0	0
ek bina	0	0	1	0	0	1	0	0	0	0
ek dosya	0	0	0	0	0	0	1	0	0	0
ek yeri	0	0	0	0	0	0	0	0	0	0
ekici	0	0	0	0	0	0	0	0	0	0
ekili	0	0	0	0	0	0	1	0	0	0
Ekim	0	0	0	0	0	0	0	0	0	0
ekin	0	0	0	0	0	0	0	0	0	0
ekipman	0	0	0	0	0	0	0	0	0	0
eklektik	0	0	0	0	0	0	0	0	0	0
eklem bacaklı	0	0	0	0	0	0	0	0	0	0
eklemek	0	0	0	0	0	0	0	0	0	0
eklenen	0	0	0	0	0	0	0	0	0	0
ekliptik	0	0	0	0	0	0	0	0	0	0
ekmek	0	0	0	0	0	0	0	0	0	0
Eko	0	0	0	0	0	0	0	0	0	0
ekonomi	0	0	0	0	0	0	0	0	0	1
ekonomi bilimi	0	0	0	0	0	0	0	0	0	0
ekonomik	0	0	0	0	0	0	0	0	0	0
ekran	0	0	0	0	0	0	0	0	0	0
eksantrik	0	0	0	0	0	0	0	0	0	0
eksen	0	0	0	0	0	0	0	0	0	0
Ekşi	0	0	1	0	0	1	0	0	0	0
eksik	0	0	0	0	0	1	0	0	0	0
eksik olarak	0	0	0	0	0	0	0	0	0	0
eksiklik	0	0	0	0	0	1	0	0	0	0
eksiksiz	0	0	0	0	0	0	1	0	0	0
eksilti	0	0	0	0	0	0	0	0	0	0
eksiltme	1	0	1	1	0	1	0	1	0	0
eksiltmek	1	0	0	0	0	1	0	0	0	0
ekskavatör	0	0	0	0	0	0	0	0	0	0
ekspres	0	0	0	0	0	0	0	0	0	0
ekstra	0	0	0	0	0	0	1	0	0	0
ekstraktör	0	0	0	0	0	0	0	0	0	0
ekvator	0	0	0	0	0	0	0	0	0	0
ekvatoral	0	0	0	0	0	0	0	0	0	0
el	0	0	0	0	0	0	0	0	0	0
el arabası	0	0	1	0	0	0	0	0	0	0
el bombası	0	0	0	1	0	1	0	0	0	0
el feneri	0	0	0	0	0	0	0	0	0	0
el ilanı	0	0	0	0	0	0	0	0	0	0
el işi	0	0	0	0	0	0	0	0	0	0
el kitabı	0	0	0	0	0	0	0	0	0	1
el koyma	1	0	0	0	0	1	0	1	0	0
el sanatı	0	0	0	0	0	0	0	0	0	0
el yazısı	0	0	0	0	0	0	0	0	0	0
el yazması	0	0	0	0	0	0	0	0	0	0
elastik	0	0	0	0	0	0	0	0	0	0
elastik olmayan	0	0	0	0	0	0	0	0	0	0
elastikiyet	0	0	0	0	0	0	0	0	0	0
elbise	0	0	0	0	0	0	0	0	0	0
elbiseler	0	0	0	0	0	0	0	0	0	0
elçi	0	0	0	0	0	0	0	0	0	0
elçilik	0	0	0	0	0	0	0	0	0	0
elde edilebilir	0	0	0	0	1	0	1	0	0	0
elde etmek	0	0	0	0	0	0	0	0	0	0
elden çıkarmak	0	0	1	0	0	0	0	0	0	0
eldiven	0	0	0	0	0	0	0	0	0	0
ele almak	1	0	0	0	0	0	0	0	1	0
ele geçirmek	0	0	0	0	0	1	0	0	0	0
Elek	0	0	0	0	0	0	0	0	0	0
elektrik	0	0	0	0	1	0	1	0	1	0
elektrik kablo borusu	0	0	0	0	0	0	0	0	0	0
eleman	0	0	0	0	0	0	0	0	0	0
eleme	0	0	0	0	0	0	0	0	0	0
elementler	0	0	0	0	0	0	0	0	0	0
eleştiri	1	0	0	0	0	1	0	1	0	0
eleştirmek	1	0	1	1	0	1	0	1	0	0
eleştirmen	0	0	0	0	0	1	0	0	0	0
eleştirmeyen	0	0	0	0	0	0	0	0	0	0
eli kulağında	0	1	0	1	0	0	0	0	0	0
eliminasyon	1	0	1	1	0	1	0	1	0	0
elips	0	0	0	0	0	0	0	0	0	0
elipsoid	0	0	0	0	0	0	0	0	0	0
eliptik	0	0	0	0	0	0	0	0	0	0
elma	0	0	0	0	0	0	0	0	0	0
Elmadan yapılan bir içki	0	0	0	0	0	0	1	0	0	0
elmas	0	0	0	0	1	0	1	0	0	0
elmaslar	0	0	0	0	0	0	0	0	0	0
elveda	0	0	0	0	0	0	0	0	0	0
elverişli	0	0	0	0	1	0	1	0	0	0
elverişsiz	0	0	1	0	0	1	0	1	0	0
Elyaf	0	0	0	0	0	0	0	0	0	0
emanet etmek	0	0	0	0	0	0	0	0	0	1
emanetçi	0	0	0	0	0	0	0	0	0	0
emaye	0	0	0	0	0	0	0	0	0	0
embriyo	0	0	0	0	0	0	0	0	0	0
embriyonik	0	0	0	0	0	0	0	0	0	0
emek	0	1	0	0	1	0	1	0	1	1
emekçi	0	0	0	0	0	0	0	0	0	0
emekli	0	0	0	0	0	0	1	0	0	0
emeklilik	0	0	0	0	0	0	0	0	0	0
emektar	0	0	0	0	0	0	1	0	0	1
emici	0	0	0	0	0	0	0	0	0	0
emilir	0	0	0	0	0	0	1	0	0	0
emin	0	0	0	0	0	0	1	0	0	1
emir	0	0	0	0	0	0	0	0	0	0
emisyon	0	0	0	0	0	0	0	0	0	0
emme	0	0	0	0	0	0	0	0	0	0
emmek	0	0	0	0	0	1	0	0	0	0
Emniyet	0	0	0	0	0	0	0	0	0	0
emniyetsiz	0	0	0	1	0	1	0	0	0	0
empati	0	0	0	0	0	0	1	0	0	0
emre yazılı	0	0	0	0	0	0	0	0	0	0
emretmek	0	0	0	0	0	0	0	0	0	0
emtia	0	0	0	0	0	0	0	0	0	0
emülsiyon	0	0	0	0	0	0	0	0	0	0
en aşağı nokta	0	0	0	0	0	1	0	0	0	0
En büyük	0	0	0	0	0	0	0	0	0	0
en düşük	0	0	0	0	0	1	0	1	0	0
en içteki	0	0	0	0	0	0	0	0	0	0
en küçük	0	0	0	0	0	0	0	0	0	0
en sonunda	0	1	1	0	1	0	1	0	1	1
en yaşlı	0	0	0	0	0	0	0	0	0	0
en yüksek	0	1	0	1	1	1	1	0	1	0
enayi	1	0	0	0	0	1	0	0	0	0
enderlik	0	0	0	0	0	0	0	0	1	0
endişe	0	0	0	1	0	1	0	0	0	0
endişe verici	0	1	0	1	0	1	0	1	0	0
endişelenmek	0	1	0	1	0	1	0	1	0	0
endişeli	0	1	0	1	0	1	0	0	0	0
endokardit	0	0	0	1	0	0	0	1	0	0
endpapers	0	0	0	0	0	0	0	0	0	0
enerji	0	0	0	0	0	0	0	0	0	0
enerjik	0	0	0	0	0	0	1	0	0	0
enfarktüs	0	0	0	1	0	1	0	0	1	0
enfeksiyon	0	0	0	1	0	1	0	0	0	0
enfekte olmamış	0	0	0	0	0	0	1	0	0	0
enfiye	0	0	0	0	0	0	0	0	0	0
enflasyon	0	0	0	1	0	1	0	0	0	0
engebeli	0	0	0	0	0	1	0	0	0	0
engel	0	0	0	0	0	1	0	0	0	0
engelleme	0	0	0	0	0	0	0	0	0	0
engellemek	0	0	0	0	0	1	0	0	0	0
